id,likes,Checkins,Returns,Category,commBase,comm24,comm24,comm24_1,diff2448,baseTime,length,shares,hrs,sun_pub,mon_pub,tue_pub,wed_pub,thu_pub,fri_pub,sat_pub,sun_base,mon_base,tue_base,wed_base,thu_base,fri_base,sat_base,output
1,634995,0,463,1,0,0,0,0,0,65,166,2,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,634995,0,463,1,0,0,0,0,0,10,132,1,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3,634995,0,463,1,0,0,0,0,0,14,133,2,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4,634995,0,463,1,7,0,0,7,-3,62,131,1,24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
5,634995,0,463,1,1,0,0,1,0,58,142,5,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,634995,0,463,1,0,0,0,0,0,60,166,1,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,634995,0,463,1,0,0,0,0,0,68,145,2,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8,634995,0,463,1,1,0,0,1,-1,32,157,2,24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9,634995,0,463,1,0,0,0,0,0,35,177,5,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
10,634995,0,463,1,0,0,0,0,0,48,126,1,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
11,634995,0,463,1,0,0,0,0,0,52,188,1,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
12,634995,0,463,1,1,0,0,1,0,69,172,4,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,634995,0,463,1,0,0,0,0,0,3,157,4,24,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
14,634995,0,463,1,1,1,1,1,1,37,126,1,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
15,634995,0,463,1,0,0,0,0,0,23,103,1,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,634995,0,463,1,3,0,0,3,-3,40,158,4,24,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
17,634995,0,463,1,3,0,0,2,-3,54,151,0,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
18,634995,0,463,1,0,0,0,0,0,29,133,1,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19,634995,0,463,1,1,0,0,1,-1,36,137,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
20,634995,0,463,1,0,0,0,0,0,11,106,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
21,634995,0,463,1,0,0,0,0,0,62,149,1,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,634995,0,463,1,77,46,46,74,15,31,135,19,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
23,634995,0,463,1,6,0,0,6,-1,54,64,1,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
24,634995,0,463,1,0,0,0,0,0,69,111,4,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
25,634995,0,463,1,0,0,0,0,0,71,156,0,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
26,634995,0,463,1,0,0,0,0,0,61,199,0,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
27,634995,0,463,1,4,4,4,4,4,13,300,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
28,634995,0,463,1,29,3,3,25,-8,49,96,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,634995,0,463,1,3,1,1,3,-1,35,67,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,634995,0,463,1,2,2,2,2,2,11,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,634995,0,463,1,2,0,0,2,-2,37,168,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
32,634995,0,463,1,0,0,0,0,0,0,84,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15
33,634995,0,463,1,2,2,2,2,2,11,116,4,24,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
34,634995,0,463,1,0,0,0,0,0,43,64,0,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
35,634995,0,463,1,2,2,2,2,2,18,133,4,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,634995,0,463,1,0,0,0,0,0,64,186,3,24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
37,634995,0,463,1,0,0,0,0,0,51,205,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,634995,0,463,1,0,0,0,0,0,67,210,28,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,634995,0,463,1,8,8,8,8,8,12,114,13,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
40,634995,0,463,1,1,0,0,1,-1,31,142,5,24,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
41,634995,0,463,1,3,1,1,2,-1,38,123,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,634995,0,463,1,1,0,0,0,-1,66,68,0,24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
43,634995,0,463,1,0,0,0,0,0,24,133,3,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
44,634995,0,463,1,19,1,1,18,-17,47,100,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,634995,0,463,1,0,0,0,0,0,26,104,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,634995,0,463,1,0,0,0,0,0,44,110,0,24,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,634995,0,463,1,38,3,3,33,-15,60,101,14,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
48,634995,0,463,1,0,0,0,0,0,49,121,0,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
49,634995,0,463,1,3,0,0,3,-3,33,144,0,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
50,634995,0,463,1,0,0,0,0,0,1,168,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,634995,0,463,1,2,2,2,2,2,7,143,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,634995,0,463,1,5,0,0,5,0,54,91,13,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
53,634995,0,463,1,1,1,1,0,1,46,52,7,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
54,634995,0,463,1,5,4,4,2,3,40,202,30,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,634995,0,463,1,0,0,0,0,0,67,83,3,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
56,634995,0,463,1,0,0,0,0,0,54,94,0,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
57,634995,0,463,1,0,0,0,0,0,39,72,0,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
58,634995,0,463,1,0,0,0,0,0,4,132,3,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
59,634995,0,463,1,0,0,0,0,0,56,196,4,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
60,634995,0,463,1,2,0,0,2,-2,46,63,4,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
61,634995,0,463,1,0,0,0,0,0,41,115,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
62,634995,0,463,1,69,35,35,65,1,30,197,37,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
63,634995,0,463,1,16,11,11,3,6,49,211,12,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,634995,0,463,1,17,0,0,17,-17,42,116,3,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
65,634995,0,463,1,1,0,0,1,0,58,199,0,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
66,634995,0,463,1,1,0,0,1,0,57,65,0,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
67,634995,0,463,1,3,3,3,3,3,18,68,15,24,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
68,634995,0,463,1,2,0,0,2,-2,39,129,12,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
69,634995,0,463,1,0,0,0,0,0,22,174,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
70,634995,0,463,1,1,1,1,1,1,11,211,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,634995,0,463,1,1,1,1,1,1,17,98,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
72,634995,0,463,1,1,0,0,1,-1,31,165,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
73,634995,0,463,1,1,1,1,1,1,38,215,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
74,634995,0,463,1,6,6,6,0,6,46,226,23,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75,634995,0,463,1,0,0,0,0,0,12,203,0,24,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
76,634995,0,463,1,0,0,0,0,0,58,125,0,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
77,634995,0,463,1,0,0,0,0,0,3,172,0,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
78,634995,0,463,1,1,1,1,1,1,1,153,0,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
79,634995,0,463,1,0,0,0,0,0,4,127,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
80,634995,0,463,1,2,0,0,2,0,54,77,4,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
81,634995,0,463,1,0,0,0,0,0,67,196,0,24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
82,634995,0,463,1,0,0,0,0,0,50,67,5,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
83,634995,0,463,1,0,0,0,0,0,39,209,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,634995,0,463,1,7,1,1,7,-5,35,76,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,634995,0,463,1,6,0,0,6,0,70,158,5,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
86,634995,0,463,1,1,1,1,1,1,4,130,3,24,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
87,634995,0,463,1,0,0,0,0,0,19,134,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
88,634995,0,463,1,10,0,0,10,-10,44,113,33,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
89,634995,0,463,1,0,0,0,0,0,59,184,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,634995,0,463,1,0,0,0,0,0,43,133,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
91,634995,0,463,1,7,0,0,7,-1,59,126,0,24,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
92,634995,0,463,1,4,0,0,4,-4,29,130,0,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,634995,0,463,1,4,4,4,4,4,23,106,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
94,634995,0,463,1,1,1,1,0,1,29,138,3,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
95,634995,0,463,1,9,1,1,7,0,68,121,0,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
96,634995,0,463,1,0,0,0,0,0,50,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,634995,0,463,1,6,0,0,6,-1,67,152,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,634995,0,463,1,6,0,0,6,-6,37,157,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
99,634995,0,463,1,11,3,3,9,-5,32,141,4,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,634995,0,463,1,14,12,12,10,10,29,138,4,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
